iter	MultiClass
0	2.668907914
1	2.251319614
2	1.945944274
3	1.743138773
4	1.56877347
5	1.436505463
6	1.308847939
7	1.205247007
8	1.10850296
9	1.029080651
10	0.9494144751
11	0.8863208738
12	0.8280160189
13	0.7759722762
14	0.7249955931
15	0.6841015632
16	0.6456276782
17	0.6073680307
18	0.5738213993
19	0.5453476622
20	0.5137660552
21	0.4897115716
22	0.4645218731
23	0.4434382361
24	0.4233038928
25	0.4040062045
26	0.3872014308
27	0.367931838
28	0.3537045321
29	0.338715192
30	0.3251751805
31	0.3105428206
32	0.2981907711
33	0.2856497389
34	0.2755381726
35	0.2641191659
36	0.2552416819
37	0.2443588234
38	0.2355158574
39	0.2279664031
40	0.2206381886
41	0.2135202975
42	0.2063626425
43	0.197718055
44	0.1912335918
45	0.1852979173
46	0.1793549191
47	0.1741862379
48	0.1687447662
49	0.163514362
50	0.1585800068
51	0.1544772137
52	0.1494130798
53	0.1450125036
54	0.1412338794
55	0.1379069496
56	0.1343187849
57	0.1311882544
58	0.1283492337
59	0.1255205134
60	0.1228846404
61	0.1202242295
62	0.1167106737
63	0.1133905884
64	0.1110019533
65	0.1081725024
66	0.1062789087
67	0.103902003
68	0.1020120053
69	0.1001046923
70	0.09833043639
71	0.09628045861
72	0.0946664288
73	0.09305672091
74	0.09137607157
75	0.08918463677
76	0.08776821981
77	0.08619874393
78	0.08431591733
79	0.08299101456
80	0.08156204597
81	0.08054960642
82	0.07936120544
83	0.07782661753
84	0.07655449357
85	0.0754288434
86	0.07399970282
87	0.07303238961
88	0.07173974812
89	0.07069818482
90	0.06985825493
91	0.06895240849
92	0.06795430125
93	0.06703033104
94	0.06614226326
95	0.06501458679
96	0.06397318918
97	0.06304063445
98	0.06234223558
99	0.06137032671
100	0.06058359286
101	0.05950240293
102	0.05880434068
103	0.05793943817
104	0.0571515125
105	0.05659603482
106	0.05572215544
107	0.05499019967
108	0.05412479484
109	0.05347950424
110	0.05268622097
111	0.05225676654
112	0.05168528169
113	0.0509697405
114	0.05042462927
115	0.05000817542
116	0.04954080954
117	0.04883937771
118	0.04808615654
119	0.04752434053
120	0.04681587469
121	0.04638692309
122	0.0459928044
123	0.04546499804
124	0.04503914725
125	0.04443943294
126	0.04398932669
127	0.04355785708
128	0.04300772718
129	0.04257169546
130	0.04221394898
131	0.04161117387
132	0.04109310402
133	0.04063737735
134	0.04022778799
135	0.03985946154
136	0.03950744415
137	0.03923088377
138	0.03887029324
139	0.03856039823
140	0.03821473972
141	0.03779599979
142	0.03743396008
143	0.03705513348
144	0.03659630627
145	0.03630583786
146	0.0359811418
147	0.03571441258
148	0.0354360325
149	0.03518767566
150	0.03487274284
151	0.03461918497
152	0.03441593134
153	0.03403674633
154	0.0336765004
155	0.03341853332
156	0.0331190822
157	0.03296483265
158	0.03270303243
159	0.0324514375
160	0.03201290175
161	0.03179163713
162	0.03149146559
163	0.03123447731
164	0.03103584986
165	0.03076428634
166	0.03050473594
167	0.030263559
168	0.03002133409
169	0.02975695486
170	0.02949595989
171	0.02930459344
172	0.02910991108
173	0.02891940006
174	0.02871704268
175	0.02851252312
176	0.02837681864
177	0.02822069066
178	0.02802611777
179	0.02778734102
180	0.0275329183
181	0.02735860972
182	0.02722284537
183	0.0270387985
184	0.02688448586
185	0.0267032129
186	0.02654857919
187	0.02639447997
188	0.02618120055
189	0.02603918052
190	0.02591171195
191	0.02572378179
192	0.02555412902
193	0.02543914308
194	0.02531486042
195	0.02519395686
196	0.02503710738
197	0.0249023683
198	0.02476220529
199	0.02460618096
200	0.02445136043
201	0.02433600096
202	0.02418876592
203	0.02397822941
204	0.02379428006
205	0.02364550283
206	0.02348573489
207	0.02336434474
208	0.02322292727
209	0.02301567036
210	0.02288353329
211	0.02271467748
212	0.02258594589
213	0.02239069925
214	0.02228151526
215	0.02216188688
216	0.02200433541
217	0.02188878778
218	0.02170904617
219	0.02160377186
220	0.02148842581
221	0.02139516456
222	0.02125124857
223	0.02114235209
224	0.02107188934
225	0.02095632484
226	0.02083056845
227	0.02074171616
228	0.02066652522
229	0.02050862683
230	0.02043369206
231	0.02030789369
232	0.02023502452
233	0.02013382557
234	0.02004094031
235	0.01992070367
236	0.01981274245
237	0.01967585211
238	0.01957600193
239	0.0194904464
240	0.01938033731
241	0.01926600729
242	0.01915907459
243	0.01907183727
244	0.01899028345
245	0.01890503333
246	0.01882523207
247	0.01874429399
248	0.01867376704
249	0.01857303701
250	0.0184829619
251	0.01842094798
252	0.01830932692
253	0.01822198452
254	0.01809625244
255	0.01800339991
256	0.01791998431
257	0.01784965091
258	0.01772606292
259	0.01766443026
260	0.0175488332
261	0.01746284946
